TIme,Satellite_num,State
252,31,outdoor
253,31,outdoor
254,31,outdoor
255,31,outdoor
256,32,outdoor
257,28,outdoor
258,31,outdoor
259,29,outdoor
260,30,outdoor
261,30,outdoor
262,31,outdoor
263,31,outdoor
264,29,outdoor
265,29,outdoor
266,29,outdoor
267,30,outdoor
268,30,outdoor
269,32,outdoor
270,31,outdoor
271,28,outdoor
272,30,outdoor
273,29,outdoor
274,31,outdoor
275,32,outdoor
276,29,outdoor
277,28,outdoor
278,31,outdoor
279,30,outdoor
280,30,outdoor
281,31,outdoor
282,28,outdoor
283,30,outdoor
284,31,outdoor
285,30,outdoor
286,28,outdoor
287,31,outdoor
288,29,outdoor
289,30,outdoor
290,29,outdoor
291,30,outdoor
292,30,outdoor
293,28,outdoor
294,30,outdoor
295,31,outdoor
296,30,outdoor
297,26,outdoor
298,30,outdoor
299,28,outdoor
300,30,outdoor
301,29,outdoor
302,28,outdoor
303,27,outdoor
304,30,outdoor
305,32,outdoor
306,31,outdoor
307,30,outdoor
308,29,outdoor
309,29,outdoor
310,28,outdoor
311,29,outdoor
312,30,outdoor
313,29,outdoor
314,30,outdoor
315,28,outdoor
316,28,outdoor
317,29,outdoor
318,29,outdoor
319,31,outdoor
320,27,outdoor
321,28,outdoor
322,29,outdoor
323,29,outdoor
324,30,outdoor
325,30,outdoor
326,29,outdoor
327,29,outdoor
328,28,outdoor
329,30,outdoor
330,29,outdoor
331,29,outdoor
332,30,outdoor
333,28,outdoor
334,27,outdoor
335,29,outdoor
336,29,outdoor
337,29,outdoor
338,30,outdoor
339,30,outdoor
340,29,outdoor
341,29,outdoor
342,27,outdoor
343,28,outdoor
344,28,outdoor
345,30,outdoor
346,29,outdoor
347,29,outdoor
348,31,outdoor
349,30,outdoor
350,29,outdoor
351,29,outdoor
352,29,outdoor
353,31,outdoor
354,29,outdoor
355,32,outdoor
356,31,outdoor
357,30,outdoor
358,29,outdoor
359,30,outdoor
360,29,outdoor
361,29,outdoor
362,29,outdoor
363,27,outdoor
364,29,outdoor
365,28,outdoor
366,29,outdoor
367,28,outdoor
368,31,outdoor
369,30,outdoor
370,31,outdoor
371,29,outdoor
372,32,outdoor
373,31,outdoor
374,31,outdoor
375,30,outdoor
